ts,price_now,market_now
2025-10-22T11:39:23.180171,0.0,0.0
2025-10-22T11:52:14.388898,0.0,0.0
2025-10-22T12:33:20.375107,0.0,0.0
2025-10-22T16:31:40.202429,0.0,0.0
2025-10-22T16:33:55.418781,0.0,0.0
2025-10-22T19:32:01.457400,0.0,0.0
2025-10-22T19:34:47.175926,0.0,0.0
2025-10-23T01:55:10.568466,0.0,0.0
2025-10-24T01:46:53.302807,388.4,388.4
2025-10-25T01:46:08.986375,0.0,0.0
2025-10-26T01:58:13.585628,422.07,422.07
2025-10-27T02:01:25.300657,0.0,0.0
2025-10-28T01:50:12.924558,422.07,422.07
2025-10-29T01:59:20.712430,422.07,422.07
2025-10-30T01:55:49.473557,422.07,422.07
2025-10-31T01:55:04.599810,422.07,422.07
2025-11-01T01:59:27.861434,422.07,422.07
2025-11-02T02:01:21.020123,0.0,0.0
2025-11-03T01:57:15.382875,422.07,422.07
2025-11-04T01:44:45.318121,422.07,422.07
2025-11-05T01:46:11.516942,0.0,0.0
2025-11-06T01:43:45.334225,422.07,422.07
2025-11-07T01:43:58.510737,422.07,422.07
2025-11-08T01:29:32.520256,422.07,422.07
2025-11-09T01:48:12.863720,422.07,422.07
2025-11-10T01:48:48.351688,422.07,422.07
2025-11-11T01:49:58.079617,422.07,422.07
2025-11-12T01:44:13.446079,422.07,422.07
2025-11-13T01:44:41.123134,422.07,422.07
2025-11-14T01:48:43.038620,422.07,422.07
2025-11-15T01:41:58.899124,421.795,421.795
2025-11-16T01:52:29.672669,421.795,421.795
2025-11-17T01:46:03.723626,0.0,0.0
2025-11-18T01:47:15.589062,421.795,421.795
2025-11-19T01:46:35.879947,421.795,421.795
