name,price_now,market_now,pct_24h,pct_7d,breakout
Lugia Full Art Ex Proxy Demand,105.15,105.15,0.0,0,False
Giratina V Alt Art Lost Origin,2.5,2.5,0.0,0,False
Blastoise Ex Special Illustration Sv 151,70.22,70.22,0.0,0,False
Charizard Base Set 1St Edition Holo,465.87,465.87,0,0,False
Latias Latios Gx Alt Art Team Up,90.265,90.265,0,0,False
Charizard V Alt Art Champion S Path Swsh,418.51,418.51,0.0,0,False
Rayquaza Vmax Alt Art Evolving Skies,0.0,0.0,-1.0,0,False
Gengar Vmax Alt Art Fusion Strike,0.0,0.0,-1.0,0,False
Mewtwo Base Set 1St Edition Holo,224.88500000000002,224.88500000000002,0,0,False
Aerodactyl V Alt Art Lost Origin,1.15,1.15,0.0,0,False
Mew Vmax Alt Art Fusion Strike,0.0,0.0,-1.0,0,False
Charizard Ex Special Illustration Sv 151,418.51,418.51,0.0,0,False
Lugia V Alt Art Silver Tempest,10.765,10.765,0.0,0,False
Umbreon Vmax Alt Art Evolving Skies,0.0,0.0,-1.0,0,False
Espeon Vmax Alt Art Fusion Strike,0.0,0.0,-1.0,0,False
Sylveon Vmax Alt Art Evolving Skies,0.0,0.0,-1.0,0,False
Lugia Neo Genesis 1St Edition Holo,1299.96,1299.96,0,0,False
Rayquaza Gold Star Ex Deoxys,201.835,201.835,0,0,False
Pikachu Van Gogh Promo,29.729999999999997,29.729999999999997,0,0,False
Venusaur Ex Special Illustration Sv 151,166.19,166.19,0.0,0,False
